Publication,Expansion,Compression,Influence_of_relevant_dimension_increases,Influence_of_irrelevant_dimension_decreases
"Goldstone (1994), Exp 1a",Yes,No,Yes,No
"Goldstone (1994), Exp 1b",Yes,No,No,No
"Goldstone (1994), Exp 2",Yes,No,N/A,N/A
Hendrickson et al. (2012),Yes,No,N/A,No
Gureckis & Goldstone (2008),Yes,No,Yes,No
"Livingston et al. (1998), Exp 2-4",No,Yes,N/A,No
Stevenage (1998),Yes,Yes,N/A,N/A
Goldstone et al. (1996),Yes,No,N/A,N/A
Folstein et al. (2012),Yes,N/A,Yes,No
Goldstone et al. (2001),Yes,Yes,N/A,N/A
Levin & Beale (2000),N/A,Yes,N/A,N/A
"Quellar et al. (2006)., Exp 1-3",Yes,Yes,N/A,N/A
Zotov et al. (2011),Yes,Yes,N/A,N/A
"Close et al. (2010), Exp 1",No,Yes,N/A,N/A
"Close et al. (2010), Exp 2",Yes,No,N/A,N/A
"Close et al. (2010), Exp 3",Yes,No,N/A,N/A
Notman et al. (2005),Yes,No,No,N/A
Ozgen & Davies (2002),Yes,No,Yes,No
"Livingston & Andrews (2005), a",Yes,No,N/A,N/A
"Livingston & Andrews (2005), b",No,Yes,N/A,N/A
Goldstone (1995),No,Yes,N/A,N/A
"Pevtzow & Harnad (1997), Exp 1a",No,No,Yes,N/A
"Pevtzow & Harnad (1997), Exp 1b",Yes,Yes,Yes,N/A
"Pevtzow & Harnad (1997), Exp 2",Yes,No,No,N/A
