mturk_id;exp_condition;ts
AJTLLYV8O5FQU;CONTROL-SD-HD;2013-11-18 23:53:14
A1JT53BJT9J5HU;CONTROL-SD-HD;2013-11-18 19:44:40
A37DZ189TLKB9O;CONTROL-SD-HD;2013-11-18 19:46:05
A3G0T5Y7OSC76S;CONTROL-SD-HD;2013-11-18 19:48:56
AUC85WUTY7ZW8;CONTROL-SD-HD;2013-11-18 19:50:26
A2C42RUHCAKUK5;CONTROL-SD-HD;2013-11-18 19:52:03
A1JJDDZ8HYUDWB;CONTROL-SD-HD;2013-11-18 19:53:23
A4A7138ME4YG3;CONTROL-SD-HD;2013-11-18 19:55:04
A1TS2SKXPX7ZED;CONTROL-SD-HD;2013-11-18 19:57:43
AV3CA0IYNRCCJ;CONTROL-SD-HD;2013-11-18 20:00:19
A22HX7JGLXHJQG;CONTROL-SD-HD;2013-11-18 20:21:31
A2YAJ76U3JTDS5;CONTROL-SD-HD;2013-11-18 21:01:28
A1G086U25XD2MI;CONTROL-SD-HD;2013-11-18 21:18:35
A1XAOEDK0Y2KBT;CONTROL-SD-HD;2013-11-18 21:23:31
A16RI9YUHBJRIY;CONTROL-SD-HD;2013-11-18 22:08:02
AFAKMYW7YN5M7;CONTROL-SD-HD;2013-11-18 22:40:56
A18K8FJQ990CRY;CONTROL-SD-HD;2013-11-18 22:48:44
A1QD0XE25CXJ2A;CONTROL-SD-HD;2013-11-18 22:52:28
A310U1MNCIA915;CONTROL-SD-HD;2013-11-18 19:43:52
A2B4HL5AM3NVW5;CONTROL-SD-HD;2013-11-18 18:06:00
AGY11NOHLL1DL;CONTROL-SD-HD;2013-11-18 18:13:03
A3QPN0YIKOJ8V8;CONTROL-SD-HD;2013-11-18 18:18:58
A2BL54QCB07I79;CONTROL-SD-HD;2013-11-18 19:41:22
A2F74FOPWB6V81;CONTROL-SD-HD;2013-11-18 18:08:40
AOVS45TQ29FSJ;CONTROL-SD-HD;2013-11-18 19:46:20
ARXGC76QE55LG;CONTROL-SD-HD;2013-11-18 19:36:48
A8Y6J802N8B17;CONTROL-SD-HD;2013-11-18 19:38:44
AE569ESY8VDI3;CONTROL-SD-HD;2013-11-18 19:40:50
AVVZTRF9H0XHH;CONTROL-SD-HD;2013-11-18 19:40:13
A27TPKZZ723Z24;CONTROL-SD-LD;2013-11-18 19:56:20
A3GWGTLQNHVQ2M;CONTROL-SD-LD;2013-11-18 21:37:22
ABENA5TVJXYFU;CONTROL-SD-LD;2013-11-18 21:24:22
A2H7BU993SYRJG;CONTROL-SD-LD;2013-11-18 20:01:58
A333VIE924FFIR;CONTROL-SD-LD;2013-11-18 20:01:15
A16BQKLP887FPN;CONTROL-SD-LD;2013-11-18 19:51:22
AZ1CQ86BAXMTI;CONTROL-SD-LD;2013-11-18 19:51:26
ALSJ5JQPC3A82;CONTROL-SD-LD;2013-11-18 19:51:44
A3VE0HT1J20HNX;CONTROL-SD-LD;2013-11-18 21:22:29
A28V5XY8A0R6Q5;CONTROL-SD-LD;2013-11-18 19:40:03
AZJFKYCFDZBUP;CONTROL-SD-LD;2013-11-18 19:58:05
A3C6BPE5UJ9EHR;CONTROL-SD-LD;2013-11-18 19:40:53
A8OE2E20OZYKI;CONTROL-SD-LD;2013-11-18 19:56:55
A1VGL2D7NYXJO2;CONTROL-SD-LD;2013-11-18 19:41:21
A2Y1ANJGPXMZN6;CONTROL-SD-LD;2013-11-18 19:51:01
ASS1U4KZZ7UU8;CONTROL-SD-LD;2013-11-18 21:41:38
A3CBXFJP3N0DSZ;CONTROL-SD-LD;2013-11-18 19:42:04
A21XQA7O8MV44U;CONTROL-SD-LD;2013-11-18 19:41:59
A3ILNHZWMBPD9R;CONTROL-SD-LD;2013-11-18 19:46:29
A31WUIRI70BTN9;CONTROL-SD-LD;2013-11-18 19:45:47
A3VE0HT1J20HNX;CONTROL-SD-LD;2013-11-18 23:48:47
AJOD95832SWWS;CONTROL-SD-LD;2013-11-18 23:46:23
A1UIID7X0JJZ63;CONTROL-SD-LD;2013-11-18 19:46:26
A2QPFBGNNG37OX;CONTROL-SD-LD;2013-11-19 00:03:04
A21TO96YBL2R24;CONTROL-SD-LD;2013-11-18 18:06:17
A2ADEPVGNNXNPA;CONTROL-SD-LD;2013-11-18 22:39:01
A2U0PGDD0O1GBR;CONTROL-SD-LD;2013-11-18 19:47:43
A6HKCHY1RVBK7;CONTROL-SD-LD;2013-11-18 19:48:01
AVPKE76DJLWK6;CONTROL-SD-LD;2013-11-18 22:28:07
AE73DZ1B5ELB;TRAIN-SD-HD;2013-11-18 19:54:25
A17Z6G1TRE4322;TRAIN-SD-HD;2013-11-18 20:12:27
A1979P2H3DTY3C;TRAIN-SD-HD;2013-11-18 23:49:20
A1NM7ZPZ3NH412;TRAIN-SD-HD;2013-11-18 20:13:01
A312BX1IOBU7I7;TRAIN-SD-HD;2013-11-19 00:06:44
A3OU3VMKHM5T7L;TRAIN-SD-HD;2013-11-18 23:57:08
AVPKE76DJLWK6;TRAIN-SD-HD;2013-11-18 20:48:58
AZ4AFEZS407LU;TRAIN-SD-HD;2013-11-18 22:33:37
A14U5M64AK4MAR;TRAIN-SD-HD;2013-11-18 22:21:33
ASS1U4KZZ7UU8;TRAIN-SD-HD;2013-11-18 21:14:03
A1VO8E1TC7IJFY;TRAIN-SD-HD;2013-11-19 01:04:22
AUQTHU5AOZVQC;TRAIN-SD-HD;2013-11-18 19:42:03
A3IX7NEE8OBXE5;TRAIN-SD-HD;2013-11-18 19:48:36
A1OCJ5QNHY5RAW;TRAIN-SD-HD;2013-11-18 19:48:34
A1VL7AAOUPDN72;TRAIN-SD-HD;2013-11-18 19:48:15
A1LJKHC0NH9TIX;TRAIN-SD-HD;2013-11-18 19:47:13
A5IG6AWG6W638;TRAIN-SD-HD;2013-11-18 19:47:00
A1VIB1Z1BLMME8;TRAIN-SD-HD;2013-11-18 19:46:30
