mturk_id;exp_condition;time
A1U6VOHUHBIPIH;TRAIN-SIM-LD;2013-07-15 19:58:16
A3LFVI65XV1T46;TRAIN-SIM-LD;2013-07-15 19:09:22
A1U2MY29AQBWF1;TRAIN-SIM-LD;2013-07-15 18:51:14
A2DCGH1PR5DRA7;TRAIN-SIM-LD;2013-07-15 18:30:38
A2P9WEY7VI3PBM;TRAIN-SIM-LD;2013-07-15 18:30:17
A1BFLMCFOAYEVI;TRAIN-SIM-LD;2013-07-15 18:29:20
AMCQI3R5JWNO3;TRAIN-SIM-LD;2013-07-15 18:29:04
A1U3KTAUMV7QKT;TRAIN-SIM-LD;2013-07-15 18:27:55
AVMF8VJJLIAA5;TRAIN-SIM-LD;2013-07-15 18:26:42
AH6PQTU8QFO8U;TRAIN-SIM-LD;2013-07-15 17:52:20
A3N30TU7ZTLNB9;TRAIN-SIM-LD;2013-07-15 17:49:58
A1GPYFUKR0CNZ6;TRAIN-SIM-LD;2013-07-15 17:48:38
A2BHV2CQMHKQOL;TRAIN-SIM-LD;2013-07-15 17:47:37
A3KEC9CE406TM0;CONTROL-XAB-HD;2013-07-12 22:53:12
ADQKQCMH1ALS6;TRAIN-SIM-LD;2013-07-12 22:52:04
A1AT09XNJBAKTC;TRAIN-XAB-LD;2013-07-12 22:50:40
AGJM3414MUSEH;TRAIN-SIM-HD;2013-07-12 22:45:04
A1H6QHX1XSZ3F1;TRAIN-XAB-HD;2013-07-12 22:39:54
ATN11HXCHYKF;CONTROL-SIM-LD;2013-07-12 22:38:06
A2VJD87928AG0O;CONTROL-XAB-LD;2013-07-12 22:25:46
A1PE4AWFGVLQS;CONTROL-SIM-HD;2013-07-12 22:24:44
A2I7S2991CE4XO;CONTROL-XAB-HD;2013-07-12 22:16:31
A1IJ8SR6QIVU01;TRAIN-SIM-LD;2013-07-12 22:16:27
A2AH0QIM25B0AG;TRAIN-XAB-LD;2013-07-12 22:15:55
A1V4JFREY2GA31;TRAIN-SIM-HD;2013-07-12 22:14:08
AU2C0Q45DVGJO;TRAIN-XAB-HD;2013-07-12 22:08:28
AFAWE4JWR9G84;CONTROL-SIM-LD;2013-07-12 21:56:57
A1762YZ66AIZ9C;CONTROL-XAB-LD;2013-07-12 21:56:41
A2I8FYV88TGI9Q;CONTROL-SIM-HD;2013-07-12 21:56:32
A3VP27UUQ34OXK;CONTROL-XAB-HD;2013-07-12 21:54:45
AFAWE4JWR9G84;TRAIN-SIM-LD;2013-07-12 21:53:53
A16Z1M75MA19BN;TRAIN-XAB-LD;2013-07-12 21:52:02
A21M88FI8AG5QW;TRAIN-SIM-HD;2013-07-12 21:51:05
A1X57P8J15QI2X;TRAIN-XAB-HD;2013-07-12 21:49:22
A3054BNNX9UHE0;CONTROL-SIM-LD;2013-07-12 21:49:04
A3JIWNQV86CNOB;CONTROL-XAB-LD;2013-07-12 21:48:51
A18T7E73TNGOKP;CONTROL-SIM-HD;2013-07-12 21:45:56
A2U7HWYD5KOBKW;CONTROL-XAB-HD;2013-07-12 21:44:28
A2FVDNEMNOMHRW;TRAIN-SIM-LD;2013-07-12 21:42:46
A39PGXN2A70UN5;TRAIN-XAB-LD;2013-07-12 21:40:39
A2KFFE8V9FUKN3;TRAIN-SIM-HD;2013-07-12 21:40:12
A29CE4QKM0WNCL;TRAIN-XAB-HD;2013-07-12 21:37:41
A1UO83ZUFK5D2K;CONTROL-SIM-LD;2013-07-12 21:35:15
A22JGOL6W0YDSX;CONTROL-XAB-LD;2013-07-12 21:34:59
A1NE8U8LA353OA;CONTROL-SIM-HD;2013-07-12 21:32:09
A3QUKU6WASIITG;CONTROL-XAB-HD;2013-07-12 21:29:51
A2IKS5HMNMK5LB;TRAIN-SIM-LD;2013-07-12 21:27:27
A1LOUTL89EK5NW;TRAIN-XAB-LD;2013-07-12 21:24:47
A3HFOL3MJGCWXJ;TRAIN-SIM-HD;2013-07-12 21:24:02
AYEA5AKLJFSKT;TRAIN-XAB-HD;2013-07-12 21:23:34
A20M6OQPEYYIK;CONTROL-SIM-LD;2013-07-12 21:22:22
A3FTNWGI4OJ95I;CONTROL-XAB-LD;2013-07-12 21:21:10
A1R8LO8YXDJSMA;CONTROL-SIM-HD;2013-07-12 21:13:55
A10MEXRNAC2LV2;CONTROL-XAB-HD;2013-07-12 21:13:14
AXDO88EAF2SKI;TRAIN-SIM-LD;2013-07-12 21:11:00
A1HUUSCZ4I5SOP;TRAIN-XAB-LD;2013-07-12 21:06:05
A30L4CIDXSGJSW;TRAIN-SIM-HD;2013-07-12 21:02:47
A1JCFCPGEYT1L4;TRAIN-XAB-HD;2013-07-12 21:01:48
A2BO9XJ4MC68L1;CONTROL-SIM-LD;2013-07-12 21:01:42
A2SYRFPPV9WDEG;CONTROL-XAB-LD;2013-07-12 20:59:55
A2ETU4361VQA6L;CONTROL-SIM-HD;2013-07-12 20:55:45
A2LJ3Z8LJESI7Z;CONTROL-XAB-HD;2013-07-12 20:54:51
A3IE6ATDKX6N1H;CONTROL-XAB-HD;2013-07-12 20:53:19
A2SD7GN80U31GW;TRAIN-SIM-LD;2013-07-12 20:51:31
A1433R46IE0LRD;TRAIN-XAB-LD;2013-07-12 20:50:50
A1433R46IE0LRD;TRAIN-SIM-HD;2013-07-12 20:50:40
A3U74S280Z4B0;TRAIN-SIM-HD;2013-07-12 20:49:31
A3RMGSB08WMHYB;TRAIN-XAB-HD;2013-07-12 20:49:20
AZE084MMZVEYT;CONTROL-SIM-LD;2013-07-12 20:49:19
A1YINK9J7YOQYX;CONTROL-XAB-LD;2013-07-12 20:49:14
A5KOASRRIX868;CONTROL-SIM-HD;2013-07-12 20:49:08
A2NA2OJT15COZY;CONTROL-XAB-HD;2013-07-12 20:48:01
A3D6DQGF78M17W;TRAIN-SIM-LD;2013-07-12 20:46:56
