'mturk_id';'exp_condition';'train_type';'test_type';'stim_type';'trial_type';'block';'trial_index';'trial_idx';'correct';'rt';'sim_score';'distance';'ydist';'xdist';'comparison_type';'stimulus';'stimulus_2';'stimulus_x';'stimulus_a';'stimulus_b';'a_path';'key_press';'url';'ts'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'text';\N;'0';\N;\N;'44536';\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'text';\N;'1';\N;\N;'15928';\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'text';\N;'2';\N;\N;'25513';\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'text';\N;'3';\N;\N;'21146';\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'adaptive_train';'0';'0';\N;'1';'8668';\N;\N;\N;\N;\N;'img/HD_5_1_.jpg';\N;\N;\N;\N;\N;'84';\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'adaptive_train';'0';'1';\N;'1';'3340';\N;\N;\N;\N;\N;'img/HD_4_1_.jpg';\N;\N;\N;\N;\N;'84';\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'adaptive_train';'0';'2';\N;'0';'3281';\N;\N;\N;\N;\N;'img/HD_6_6_.jpg';\N;\N;\N;\N;\N;'84';\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'adaptive_train';'0';'3';\N;'1';'2148';\N;\N;\N;\N;\N;'img/HD_3_6_.jpg';\N;\N;\N;\N;\N;'66';\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'adaptive_train';'0';'4';\N;'1';'2594';\N;\N;\N;\N;\N;'img/HD_5_5_.jpg';\N;\N;\N;\N;\N;'66';\N;'2014-06-06 18:38:52'
'ADMTRXEG43HU0';'TRAIN-XAB-HD';'TRAIN';'XAB';'HD';'adaptive_train';'0';'5';\N;'1';'2869';\N;\N;\N;\N;\N;'img/HD_4_2_.jpg';\N;\N;\N;\N;\N;'84';\N;'2014-06-06 18:38:52'
