"","mturk_id","train_type","stim_type","xdist","block","V1"
"1","A10MEXRNAC2LV2","CONTROL","HD",0,0,0.125
"2","A10MEXRNAC2LV2","CONTROL","HD",0,1,-0.125
"3","A10MEXRNAC2LV2","CONTROL","HD",0,2,0.25
"4","A10MEXRNAC2LV2","CONTROL","HD",0,3,0.1
"5","A10MEXRNAC2LV2","CONTROL","HD",1,0,0.1875
"6","A10MEXRNAC2LV2","CONTROL","HD",1,1,0.375
"7","A10MEXRNAC2LV2","CONTROL","HD",1,2,0.0499999999999999
"8","A10MEXRNAC2LV2","CONTROL","HD",1,3,0.142857142857143
"9","A10MEXRNAC2LV2","CONTROL","HD",2,0,0.166666666666667
"10","A10MEXRNAC2LV2","CONTROL","HD",2,1,3.14018491736755e-16
"11","A10MEXRNAC2LV2","CONTROL","HD",2,2,3.14018491736755e-16
"12","A10MEXRNAC2LV2","CONTROL","HD",2,3,3.14018491736755e-16
"16","A11T1LGIWPM9Z1","TRAIN","LD",0,0,0.0999999999999999
"17","A11T1LGIWPM9Z1","TRAIN","LD",0,1,0.3
"18","A11T1LGIWPM9Z1","TRAIN","LD",0,2,-0.3
"19","A11T1LGIWPM9Z1","TRAIN","LD",0,3,-7.85046229341888e-17
"20","A11T1LGIWPM9Z1","TRAIN","LD",1,0,-0.0892857142857143
"21","A11T1LGIWPM9Z1","TRAIN","LD",1,1,0.0714285714285713
"22","A11T1LGIWPM9Z1","TRAIN","LD",1,2,0.114285714285714
"23","A11T1LGIWPM9Z1","TRAIN","LD",1,3,-0.166666666666667
"24","A11T1LGIWPM9Z1","TRAIN","LD",2,0,-0.6
"25","A11T1LGIWPM9Z1","TRAIN","LD",2,1,1.57009245868377e-16
"26","A11T1LGIWPM9Z1","TRAIN","LD",2,2,0.666666666666667
"27","A11T1LGIWPM9Z1","TRAIN","LD",2,3,3.14018491736755e-16
"32","A1433R46IE0LRD","TRAIN","LD",0,0,0.05
"33","A1433R46IE0LRD","TRAIN","LD",0,1,-0.4
"34","A1433R46IE0LRD","TRAIN","LD",0,2,-0.125
"35","A1433R46IE0LRD","TRAIN","LD",0,3,0.116666666666667
"36","A1433R46IE0LRD","TRAIN","LD",1,0,0.0892857142857142
